Sijs,trekvogel,5.30,3.54,4.56,3.74,4.13,6.34,4.48,4.32,4.21,3.40,4.73
Sperwer,standvogel,1.22,1.30,1.15,1.22,1.04,1.03,1.02,1.02,1.03,1.03,1.04
Spreeuw,beide,6.63,7.95,7.77,5.36,5.49,5.45,5.68,4.61,5.55,4.69,4.73
Staartmees,standvogel,4.23,4.33,4.71,4.58,4.46,5.10,4.20,4.70,3.60,3.99,4.19
Stadsduif,standvogel,5.65,6.50,4.43,6.06,3.07,3.19,3.31,2.91,2.53,2.42,2.58
Steenuil,standvogel,1.71,1.38,1.25,1.86,1.27,1.23,1.43,1.26,1.26,1.29,1.41
Stormmeeuw,standvogel,5.34,15.06,9.66,7.51,4.59,4.65,4.55,5.35,5.08,4.39,4.59
Tjiftjaf,trekvogel,1.16,1.50,1.52,2.09,1.73,2.91,1.33,1.25,1.16,1.31,1.24
Torenvalk,beide,1.33,1.32,1.31,1.32,1.11,1.10,1.11,1.10,1.09,1.21,1.18
Turkse Tortel,standvogel,3.61,3.77,3.54,3.12,2.58,2.70,2.70,2.52,2.59,2.73,2.63
Vink,beide,4.78,4.71,4.71,3.93,4.14,3.82,3.31,4.17,3.07,3.38,3.27
Waterhoen,standvogel,2.84,2.91,3.61,2.97,2.15,3.77,2.37,2.40,2.45,2.38,2.31
Wilde Eend,standvogel,6.75,7.58,7.39,7.60,7.43,5.38,5.96,9.63,5.35,5.38,6.07
Winterkoning,standvogel,1.35,1.31,1.34,1.28,1.23,1.19,1.17,1.17,1.14,1.14,1.16
Zanglijster,trekvogel,6.29,1.63,1.51,1.46,1.35,1.41,1.33,1.27,1.34,1.32,1.31
Zilvermeeuw,standvogel,0,8.09,7.81,6.68,5.99,5.65,6.21,5.97,5.38,4.77,4.72
Zwarte Kraai,standvogel,1.60,4.21,3.66,3.95,3.29,3.53,3.50,2.87,3.15,2.81,2.95
Zwarte Mees,standvogel,0.01,2.42,2.70,1.98,1.89,1.67,1.66,1.62,1.59,1.63,1.61
Zwartkop,trekvogel,0.04,2.07,2.43,1.90,1.29,1.30,1.31,1.30,1.25,1.20,1.22
